series,id,name,age,job,location,originalRole
1,0,Aisha Birley,23,Masters Graduate,"Manchester,England",Faithful
1,1,Nicky Wilding,45,Accounts supervisor,"South Croydon,England",Faithful
1,2,Claire Barratt,43,Ex-police officer & entrepreneur,"Hull,England",Faithful
1,3,Imran Nasim,23,Scientist,"Burgess Hill,England",Faithful
1,4,Ivan Brett,32,Author,"Polruan,England",Faithful
1,5,John McManus,49,Spa therapist,"Edinburgh,Scotland",Faithful
1,6,Tom Elderfield,24,Magician,"Chesham,England",Faithful
1,7,Matt Harris,23,BMX Athlete,"Melbourn,England",Faithful
1,8,Alyssa Chan,21,Business student,"Cork,Ireland",Traitor
1,9,Rayan Rachedi,25,Trainee lawyer,"North London,England",Faithful
1,10,Alex Gray,26,Presenter & actress,"London,England",Faithful
1,11,Amos Ogunkoya,30,Doctor,"North London,England",Faithful
1,12,Theo Mayne,26,Cheerleading coach,"Leeds,England",Faithful
1,13,Fay Greaves,59,Head of School Welfare,"Bury St Edmunds,England",Faithful
1,14,Amanda Lovett,54,Estate agent,"Swansea,Wales",Traitor
1,15,Andrea Addison,72,Retired,"Brussels, Belgium",Faithful
1,16,"Madelyn ""Maddy"" Smedley",29,Receptionist & actress,"Swanley,England",Faithful
1,17,Kieran Tompsett,42,Solutions consultant,"Stevenage,England",Traitor
1,18,"Wilfred ""Wilf"" Webster",28,Senior fundraiser,"North London,England",Traitor
1,19,Aaron Evans,24,Property agent,"Portsmouth,England",Faithful
1,20,Hannah Byczkowski,32,Comedian,"London,England",Faithful
1,21,Meryl Williams,25,Call centre agent,"Edinburgh,Scotland",Faithful
2,0,Aubrey Emerson,67,Retired shop owner,"Loughborough, England",Faithful
2,1,Sonja Clarke,66,Volunteer business mentor,"Poulton-le-Fylde, England",Faithful
2,2,Kyra Johnson,21,Apprentice economist,"Kent, England",Faithful
2,3,Brian Davidson,33,Photographer,"Glasgow, Scotland",Faithful
2,4,Ash Bibi,45,Events coordinator,"London, England",Traitor
2,5,Meg Corrick,22,Illustrator,"Hereford, England",Faithful
2,6,Jonny Holloway,31,Ex-military,"Luton, England",Faithful
2,7,Tracey Griffin,58,Sonographer & clairvoyant,"Inverness, Scotland",Faithful
2,8,Anthony Mathurin,44,Chess coach,"Birmingham, England",Faithful
2,9,Diane Carson,63,Retired teacher,"Lytham St Annes, England",Faithful
2,10,Miles Asteri,37,Veterinary nurse,"Worcester, England",Traitor
