name,progress
Harry,"{""1"":""Safe"",""2"":""Zack"",""3"":""Zack"",""4"":""Ash"",""5"":""Jonny"",""6"":""Zack"",""7"":""Miles"",""8"":""Paul"",""9"":""Charlotte"",""10"":""Ross"",""11"":""Jasmine"",""12"":""Evie""}"
Mollie,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Anthony"",""4"":""Ash"",""5"":""Jonny"",""6"":""Anthony"",""7"":""Miles"",""8"":""Paul"",""9"":""Jaz"",""10"":""Ross"",""11"":""Andrew"",""12"":""Evie""}"
Jaz,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Brian"",""4"":""Paul"",""5"":""Jonny"",""6"":""Andrew"",""7"":""Andrew"",""8"":""Paul"",""9"":""Charlotte"",""10"":""Ross"",""11"":""Jasmine"",""12"":""Evie""}"
Andrew,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Ash"",""4"":""Ash"",""5"":""Jonny"",""6"":""Zack"",""7"":""Miles"",""8"":""Jaz"",""9"":""Charlotte"",""10"":""Ross"",""11"":""Jasmine"",""12"":""Evie""}"
Evie,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Ash"",""4"":""Ash"",""5"":""Jonny"",""6"":""Anthony"",""7"":""Paul"",""8"":""Paul"",""9"":""Charlotte"",""10"":""Ross"",""11"":""Jasmine"",""12"":""Andrew""}"
Jasmine,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Brian"",""4"":""Ash"",""5"":""Jonny"",""6"":""Anthony"",""7"":""Miles"",""8"":""Paul"",""9"":""Charlotte"",""10"":""Zack"",""11"":""Evie"",""12"":""Banished""}"
Zack,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Diane"",""4"":""Meg"",""5"":""Anthony"",""6"":""Anthony"",""7"":""Miles"",""8"":""Paul"",""9"":""Jasmine"",""10"":""Ross"",""11"":""Murdered"",""12"":""Murdered""}"
Ross,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Meg"",""4"":""Ash"",""5"":""Jonny"",""6"":""Anthony"",""7"":""Miles"",""8"":""Jaz"",""9"":""Charlotte"",""10"":""Andrew"",""11"":""Banished"",""12"":""Banished""}"
Charlotte,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Brian"",""4"":""Ash"",""5"":""Jonny"",""6"":""Anthony"",""7"":""Miles"",""8"":""Paul"",""9"":""Jasmine"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Charlie,"{""1"":""Safe"",""2"":""Sonja"",""3"":""Diane"",""4"":""Ash"",""5"":""Anthony"",""6"":""Ross"",""7"":""Miles"",""8"":""Jaz"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
